Bundesland;Erwerbstätige;Erwerbslose;Erwerbspersonen;Arbeitslosenquote
Bayern;6712540;197140;6909680;2,85
Baden-Württemberg;5570990;180300;5751290;3,13
Rheinland-Pfalz;2069810;81480;2151290;3,79
Hessen;3075230;124240;3199470;3,88
Saarland;487160;22390;509550;4,39
Niedersachsen;3894540;179290;4073830;4,4
Schleswig-Holstein;1413270;67810;1481080;4,58
Nordrhein-Westfalen;8625870;463100;9088970;5,1
Hamburg;895550;53770;949320;5,66
Thüringen;1138470;68420;1206890;5,67
Brandenburg;1269010;87010;1356020;6,42
Sachsen;2049630;143160;2192790;6,53
Bremen;314770;22410;337180;6,65
Mecklenburg-Vorpommern;799940;66400;866340;7,66
Sachsen-Anhalt;1122920;95470;1218390;7,84
Berlin;1610040;150630;1760670;8,56
Gesamt;41049740;2003020;43052760;4,65
